Employee_ID,Name,Age,Department,Experience,Monthly_Salary,Join_Date
67,Karan,23.0,Sales,0,21377.0,2023/03/09
68,Riya,49.0,IT,12,61062.0,"Mar 10, 2023"
69,Vikas,25.0,Finance,29,61595.0,11-03-2023
70,Vikas,28.0,Finance,8,48205.0,2023/03/12
71,Pooja,43.0,HR,8,44015.0,"Mar 13, 2023"
72,Neha,40.0,IT,6,52293.0,14-03-2023
73,Priya,38.0,Sales,2,78707.0,2023/03/15
74,Amit,35.0,Sales,12,60210.0,"Mar 16, 2023"
75,Sneha,32.0,Sales,10,59689.0,17-03-2023
76,Sneha,27.0,HR,17,32064.0,2023/03/18
77,Riya,22.0,IT,25,51950.0,"Mar 19, 2023"
78,Priya,38.0,IT,17,29295.0,20-03-2023
79,Arjun,21.0,Finance,9,67079.0,2023/03/21
80,Neha,30.0,IT,3,85723.0,"Mar 22, 2023"
81,Rahul,53.0,HR,30,42707.0,23-03-2023
82,Karan,30.0,IT,26,61914.0,2023/03/24
83,Rahul,53.0,HR,26,58468.0,"Mar 25, 2023"
84,Neha,30.0,HR,17,24162.0,26-03-2023
85,Pooja,32.0,HR,9,76706.0,2023/03/27
86,Karan,24.0,IT,22,52413.0,"Mar 28, 2023"
87,Pooja,49.0,Sales,25,76383.0,29-03-2023
88,Amit,55.0,Finance,14,79416.0,2023/03/30
89,Arjun,42.0,IT,5,53812.0,"Mar 31, 2023"
90,Amit,47.0,Sales,18,22478.0,01-04-2023
91,Rahul,29.0,Sales,18,36400.0,2023/04/02
92,Rahul,38.0,IT,12,72570.0,"Apr 03, 2023"
93,Rahul,35.0,Sales,15,20980.0,04-04-2023
94,Sneha,53.0,HR,28,77451.0,2023/04/05
95,Sneha,41.0,Finance,15,82760.0,"Apr 06, 2023"
96,Sneha,42.0,IT,17,56074.0,07-04-2023
97,Neha,25.0,HR,24,87068.0,2023/04/08
98,Karan,53.0,Sales,24,46718.0,"Apr 09, 2023"
99,Rahul,40.0,Finance,27,68708.0,10-04-2023
100,Vikas,26.0,Finance,27,36153.0,2023/04/11
2,Arjun,52.0,Finance,24,78915.0,"Jan 03, 2023"
3,Amit,34.0,Finance,3,83944.0,04-01-2023
